comment_id,comment_text,brand,search_term,source,additional_info
7272388709982487339,My favorite designer brand 🥰🥰,Dior,favorite,TikTok,"{ likes: 0, date: '2023-08-28 15:03:10'}"
7272396422288442144,Always love your enthusiasm about everything 🥰🥰🥰What lipstick is that Amelia? It’s lovely🥰,Dior,love,TikTok,"{ likes: 0, date: '2023-08-28 15:33:02'}"
7272435255029908232,A tiktoker is Dior Ambassador,Dior,Dior,TikTok,"{ likes: 4, date: '2023-08-28 18:03:21'}"
7272488707713860394,Still the cartier 😁,Cartier,Cartier,TikTok,"{ likes: 1, date: '2023-08-28 21:30:52'}"
7272501817685656362,@Jamie Lamb thought this was Farrah,Dior,thought,TikTok,"{ likes: 0, date: '2023-08-28 22:21:40'}"
7272560499378684715,I almost bought the Dior floral bag. So pretty!,Dior,Dior,TikTok,"{ likes: 1, date: '2023-08-29 02:09:15'}"
7272623943885046561,Same with Hermes,Cartier,Hermes,TikTok,"{ likes: 1, date: '2023-08-29 06:16:22'}"
7272650640357589765,looks like any random bag worth 50$,Hermes,worth,TikTok,"{ likes: 1, date: '2023-08-29 07:59:12'}"
7272650697055716129,JISOOOOO OMMMMGGG I LOVE YOU❤,Dior,love,TikTok,"{ likes: 1, date: '2023-08-29 07:59:39'}"
7272651807742116651,Thats not a bad price,Cartier,price,TikTok,"{ likes: 1, date: '2023-08-29 08:05:16'}"
7272685966220247851,whatever you tell yourself....,Hermes,hate,TikTok,"{ likes: 0, date: '2023-08-29 10:17:06'}"
7272719023010906923,What’s the third one? Not the Cartier or the van cleef,Cartier,Cartier,TikTok,"{ likes: 0, date: '2023-08-29 12:24:53'}"
7272730724133323521,Love this but i hate them,Uniqlo,love,TikTok,"{ likes: 0, date: '2023-08-29 13:09:48'}"
7272745311499944710,Mentor that I love,Prada,love,TikTok,"{ likes: 2, date: '2023-08-29 14:06:31'}"
7272746510163886853,Prada loafer 🔥🔥🔥🔥🔥🔥🔥🔥🔥,Prada,Prada,TikTok,"{ likes: 3, date: '2023-08-29 14:11:05'}"
7272756516925784837,That Prada sneaker is crazy🔥,Prada,Prada,TikTok,"{ likes: 19, date: '2023-08-29 14:49:53'}"
7272773382498894597,Bro I like you to much 🥰🥰🥰🥰🥰,Prada,like,TikTok,"{ likes: 3, date: '2023-08-29 15:55:20'}"
7272774202104840966,bro I love your drip💜,Prada,love,TikTok,"{ likes: 6, date: '2023-08-29 15:58:41'}"
7272801191082935083,Love the black 🔥,Prada,love,TikTok,"{ likes: 1, date: '2023-08-29 17:43:29'}"
7272809454546338565,I like you bro 🤩🥰 you are a best,Prada,best,TikTok,"{ likes: 1, date: '2023-08-29 18:15:27'}"
7272815959731553056,No I don’t like Nike I LOVE NIKE,Nike,love,TikTok,"{ likes: 2, date: '2023-08-29 18:40:57'}"
7272858637213680416,The best 🥰,Prada,best,TikTok,"{ likes: 0, date: '2023-08-29 21:26:19'}"
7272908205263618821,Our Cartiers are cheap😎,Cartier,cheap,TikTok,"{ likes: 1, date: '2023-08-30 00:38:34'}"
7272914737817600773,my first designer anything was a pair of Prada shoes so I know the excitement,,,TikTok,"{ likes: nan, date: 'nan'}"
7272972780159697670,love you style,Prada,love,TikTok,"{ likes: 0, date: '2023-08-30 04:49:09'}"
7272991680113214209,Love it too,Dior,love,TikTok,"{ likes: 1, date: '2023-08-30 06:02:30'}"
7273001218975941406,Prada took my money too. 🔥🔥🔥,Prada,Prada,TikTok,"{ likes: 0, date: '2023-08-30 06:45:42'}"
7273068650185245472,I’ll just get the bags 😻 no seriously I desperately want a Chanel bag I will protect it like it’s my most prized possession,Chanel,like,TikTok,"{ likes: 0, date: '2023-08-30 11:01:37'}"
7273090800212525829,wow I love it boss,Prada,love,TikTok,"{ likes: 0, date: '2023-08-30 12:27:09'}"
7273130740295107361,It wouldn’t make sense for Cartier to sell a bracelet for £2000,Cartier,Cartier,TikTok,"{ likes: 2, date: '2023-08-30 15:02:15'}"
7273168564819264302,I looooove Dior 😭🌹💗,Dior,Dior,TikTok,"{ likes: 1, date: '2023-08-30 17:29:16'}"
7273184381283582753,I will still purchase it’s a timeless piece,Cartier,timeless,TikTok,"{ likes: 1, date: '2023-08-30 18:30:29'}"
7273192603776320262,best expensive dresser,Prada,best,TikTok,"{ likes: 1, date: '2023-08-30 20:14:41'}"
7273235196127953672,pov : ur name is chanel😭,Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-08-30 21:48:04'}"
7273240992031228718,I have black oneHermes,Louis Vuitton,better,TikTok,"{ likes: 1, date: '2023-08-30 22:10:01'}"
7273290910665802539,I like name brands 😐,Cartier,like,TikTok,"{ likes: 1, date: '2023-08-31 01:23:46'}"
7273300121646646022,😍😍very like it,Prada,like,TikTok,"{ likes: 1, date: '2023-08-31 01:59:34'}"
7273309751872865057,when you buy an Hermes bag you think to have 20 K of leather ? It named brand everythings have it,Cartier,Hermes,TikTok,"{ likes: 1, date: '2023-08-31 02:39:34'}"
7273314117203854086,Ppl be like I want to be different but same !!!,Cartier,like,TikTok,"{ likes: 0, date: '2023-08-31 02:53:47'}"
7273365452921799466,I want the Cartier♥️,Cartier,Cartier,TikTok,"{ likes: 1, date: '2023-08-31 06:13:19'}"
7273406465741259528,i like your style bro,Prada,like,TikTok,"{ likes: 0, date: '2023-08-31 08:52:00'}"
7273457948708406021,Bro i really like your drip i wish i can be you for real drip too hard,Prada,like,TikTok,"{ likes: 3, date: '2023-08-31 12:46:35'}"
7273469115933868806,Do you have the ADIDAS ROD LAVER??? I love those but they aren't so common to see,Adidas,love,TikTok,"{ likes: 0, date: '2023-08-31 12:55:07'}"
