comment_text,brand,search_term,source,additional_info
"Girl it looks sooooooooo good! I love it",Zara,love,TikTok,"{ likes: 0, date: '2022-07-18 03:28:53'}"
"Are you kidding you look sensational!! Love this for you",Zara,love,TikTok,"{ likes: 0, date: '2022-07-18 03:55:00'}"
"I love it on you",Zara,love,TikTok,"{ likes: 0, date: '2022-07-18 19:06:53'}"
"Can u do a tour of all ur dunks please! With names and prices :) I’m looking to buy some!",Nike,price,TikTok,"{ likes: 4, date: '2022-07-20 17:35:08'}"
"I love it on you but if you’re not comfortable it’s not for you 🥰",Zara,comfortable,TikTok,"{ likes: 0, date: '2022-07-23 13:33:05'}"
"I love this!!! Where do u get your clothes",Nike,love,TikTok,"{ likes: 2, date: '2022-07-24 14:26:04'}"
"buy shorter it will look better on you😁",Zara,better,TikTok,"{ likes: 0, date: '2022-07-25 09:01:55'}"
"Super classy! Love it!!",Louis Vuitton,love,TikTok,"{ likes: 8, date: '2022-07-26 02:12:56'}"
"American consumerism at its best. Creating more debt",Louis Vuitton,best,TikTok,"{ likes: 6, date: '2022-07-26 04:01:02'}"
"My mom has the same LV purse that she bought from Paris before I was born… it’s in perfect condition. Quality is excellent",Louis Vuitton,quality,TikTok,"{ likes: 45, date: '2022-07-26 13:59:23'}"
"Is there hermes baby stuff? Love your unboxing vids! 😍",Hermes,love,TikTok,"{ likes: 97, date: '2022-07-27 13:19:33'}"
"this video is so aesthetic and elegant🥰",Hermes,aesthetic,TikTok,"{ likes: 69, date: '2022-07-27 13:21:27'}"
"You have the best unboxing videos 🥰",Hermes,best,TikTok,"{ likes: 11, date: '2022-07-27 13:25:00'}"
"This video is so perfect! Love your account 😍",Hermes,love,TikTok,"{ likes: 8, date: '2022-07-27 14:56:49'}"
"The Color is noir in shiny crocodile",Hermes,color,TikTok,"{ likes: 17, date: '2022-07-27 15:10:01'}"
"Anything better than an exotic Birkin? 🤔 Arming Ukraine againts russian aggresion… for example. 💁‍♀️",Hermes,better,TikTok,"{ likes: 10, date: '2022-07-27 15:38:49'}"
"omg this is so lovely bag!! #hermesbestbag",Hermes,best,TikTok,"{ likes: 7, date: '2022-07-27 15:38:57'}"
"Black my fav color ❤️",Hermes,color,TikTok,"{ likes: 7, date: '2022-07-27 18:53:47'}"
"Love it ❤️😍",Hermes,love,TikTok,"{ likes: 7, date: '2022-07-27 19:41:02'}"
"No thank you. Why waste your time shopping when there are so many beautiful places to see. Memories not things.",Louis Vuitton,waste,TikTok,"{ likes: 931, date: '2022-07-28 00:29:55'}"
